ABCA12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCA13,1.03,0,0,0,0,4.39,0.99,0,0,0,3.4,0.8,1,1.92,0
ABCA2,10,17,17,6,10,14,3,4,10,13,35,16,12,13,5
ABCA3,10,14,15,3,3,10,0,0,8,3,12,3,4.34,7,13
ABCA4,0,0,0,0,0,0,1,0,3,0,0,4,5,2,0
ABCA5,10,17.24,15.04,9.36,16.58,5.89,3.53,2.03,3,2,6,5,11,18,28.01
ABCA6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCA7,4,8,10,1,5,8,3,5,4,0,24,0,8,9,1
ABCA8,0,0,0,0,0,0,0,0,0,4,4,0,9,5,7
ABCA9,4.98,9.2,22.84,8.21,1.07,7.31,1.01,5,4.56,11.95,5.93,4.89,7.99,10.82,9.96
ABCB1,0,4,2,0,1,1,2,2,3,0,0,0,1,0,1
ABCB10,51,36,51,71,82,55,101,69,117,51,85,88,87,74,58
ABCB11,0,0,0,0,0,0,0,1,0,1,10,4,1,0,0
ABCB4,1,4,1,1,0,0,2,2,5,0,2,3,9,11,2
ABCB5,5.19,6.76,9.36,14.54,3.74,13.89,14.35,1.32,13.97,21.46,2.98,10.1,3.61,9.93,4.75
ABCB6,33,23,26,27,39,42,57,36,54,44,94,52,101,73,66
ABCB7,74,76,78,91,125,88,85,72,109,183,92,120,98,123,107
ABCB8,11,13,17,18,17,17,4,8,10,13,30,13,21,1,23
ABCB9,1,2,0,4,0,5,1,4,6,0,1,0,1,1,0
ABCC1,100,141.29,184,152,158,155,149,169,231,56,115,52,51,66,32.02
ABCC10,27,14,32,21,15,31,12,14,23,7,25,12,16,26,51
ABCC11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
ABCC12,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
ABCC2,0,0,1,2,2,0,0,0,1,0,0,0,2,0,1
ABCC3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
ABCC4,101.98,138,132,125,158,117,189.01,194,230,123,106,122.35,118,135,124
ABCC5,166,171,223,199,243,205,137,148,215,132,209,91,140.8,154,171
ABCC6,0,0,1,1,1,0,0,0,0,0,0,0,9,0,0
ABCC8,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0
ABCC9,187.03,196.57,265.69,210.96,163.08,173.62,163.88,108.38,146.16,976.77,1129.61,875.39,684.2,641.07,614.51
ABCD1,16,33,39,55,40,40,48,32,66,30,93,53,55,74,78
ABCD2,0,0,0,0,0,0,1,0,0,2,1,0,0,3,0
ABCD3,90,120,150.76,173.05,185,129,174,177.31,215,166,164.21,187,142.86,209,135
ABCD4,49,49,58,51,54,42.19,22,20,35,61,44,50,73,55,54
ABCE1,609,732,793,865,976,713,854,817.42,964.45,768,459,611,596.93,711,747
ABCF1,332,361,486.79,375,379,376,362.98,316,479,45,183.68,38,163,104,86
ABCF2,152.02,203.77,231.48,179.2,189.97,228.98,177.95,160.25,253.52,82,97.02,79.02,120.54,94,85.16
ABCF3,49,43,88,45,65,44,50,61,64,18,15,17,38,31,28
ABCG1,0,1,2,0,0,0,1,1,0,14,8,4,17,11,18
ABCG2,6,19,8,123,79.1,83,97,98,138,8,14,17,1,21,12
ABCG4,0,0,0,0,1,2,0,0,2,4,0,6,9,16,11
ABCG5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCG8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD10,38,46,40,54,43,39,47,58,51,164.06,76,135,54,85,114
ABHD11,7.51,19.61,16.24,22.53,13.8,10.01,9.46,7.08,14.6,7,6.29,3,16.61,13.08,8.94
ABHD12,52,44,77,46,75,47,61,24,59.99,34,51,53,48,20,66
ABHD12B,0,3,1,4,5,5,9,2,19.23,0,3.99,0,0,0,1
ABHD13,39,51,52,76,66,62,51,44,53,162,97,136,81.49,96,152
ABHD14A,0,0,1,1,0,1,1,5,0,5,10,3,2,1,5
ABHD14B,6,4,6,0,3,2,2,0,2,5,3,9,4,5,0
